"file_path","label","target","start_sec","duration_sec","rms_dbfs","split","source_dataset","source_folder","source_file"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_8626c5fdab.mp3","baby_cry","0","18.0","2.0","-30.789","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c32a25179d.mp3","baby_cry","0","18.0","2.0","-17.935","val","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211012_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5eeae74ea9.mp3","baby_cry","0","10.0","2.0","-13.014","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211017_H_302_D_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c32a25179d.mp3","baby_cry","0","20.0","2.0","-18.162","val","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211012_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_718db573d7.mp3","baby_cry","0","16.0","2.0","-20.3","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_df3dbc35cb.mp3","baby_cry","0","10.0","2.0","-29.245","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_015_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\edge_audio_dataset_196e682b1b.wav","baby_cry","0","2.0","2.0","-19.183","train","edge_audio_dataset","esc50","ESC50_3-151080-A-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_7a124a63e9.mp3","baby_cry","0","20.0","2.0","-28.734","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211107_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_b87e4a89f7.mp3","baby_cry","0","34.0","2.0","-38.164","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_2216d9a317.mp3","baby_cry","0","16.0","2.0","-22.171","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211020_H_302_C_006_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_cffe9bf4d2.mp3","baby_cry","0","10.0","2.0","-24.945","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211027_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f146fab06d.mp3","baby_cry","0","12.0","2.0","-22.725","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_b87e4a89f7.mp3","baby_cry","0","28.0","2.0","-37.648","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5924f9cd43.mp3","baby_cry","0","10.0","2.0","-32.701","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_008_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_616a3f8533.mp3","baby_cry","0","32.0","2.0","-29.919","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_604b4cdf23.mp3","baby_cry","0","10.0","2.0","-33.116","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_b5304867f3.wav","baby_cry","0","2.0","2.0","-11.923","test","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_2-107351-B-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c32a25179d.mp3","baby_cry","0","6.0","2.0","-23.1","val","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211012_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_7d4e512237.mp3","baby_cry","0","12.0","2.0","-35.171","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c7692cc804.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_010_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_147d20752c.wav","baby_cry","0","2.0","2.0","-20.897","train","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_1-211527-B-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_3f3474bdd2.mp3","baby_cry","0","6.0","2.0","-23.1","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211023_H_302_C_008_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5a72eb4bf4.mp3","baby_cry","0","6.0","2.0","-23.1","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_009_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_19ee380942.mp3","baby_cry","0","18.0","2.0","-39.359","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f976cdd0db.mp3","baby_cry","0","20.0","2.0","-16.433","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_604b4cdf23.mp3","baby_cry","0","26.0","2.0","-33.556","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_005_0001.mp3"
